;Navaid Database Population Program Created by Ian Cowan
;All Airports within 100nm of ATL VOR
8A0  N034.13.44.8000 W086.15.20.7000
KALX N032.54.53.1000 W085.57.46.6000
KANB N033.35.17.4000 W085.51.29.2000
AL4  N033.39.21.6200 W085.49.28.0000
04A  N033.37.35.0000 W085.58.02.0000
26A  N033.17.03.1100 W085.48.32.2750
0AL  N033.16.37.9800 W085.49.29.3500
AL6  N033.50.19.3550 W086.12.40.9150
KAUO N032.36.54.4000 W085.26.02.4000
1AL  N034.13.13.4600 W086.09.27.5400
8AL  N034.08.30.3600 W086.05.18.8400
3AL  N033.39.24.4000 W086.24.44.9000
AL3  N034.19.21.3200 W085.38.37.3700
AL2  N034.06.20.3500 W085.33.56.8580
KPYP N034.05.23.7000 W085.36.36.3000
7AL  N033.19.20.7600 W086.21.28.3700
AL1  N032.10.20.5480 W085.01.43.7490
AL5  N032.24.58.0000 W085.17.57.0000
5AL  N032.49.06.5700 W085.44.29.4400
4AL  N034.44.41.0000 W085.41.23.4000
43A  N034.46.08.1100 W085.41.46.3400
2AL  N034.23.34.0000 W085.39.54.0000
4A9  N034.28.25.3000 W085.43.17.0000
0AL  N034.26.31.9300 W085.45.20.9500
KGAD N033.58.21.5359 W086.05.20.7004
0AL  N034.00.30.0000 W085.57.55.0000
AL0  N032.13.16.8096 W085.28.18.4188
3AL  N033.50.07.1000 W085.45.50.1000
7A3  N032.48.42.9080 W085.13.46.7315
9AL  N034.07.56.1400 W085.47.43.4700
AL0  N034.32.27.0850 W085.35.32.2550
9AL  N033.47.05.5200 W086.03.02.4200
20A  N033.58.16.6000 W086.22.49.4000
AL8  N032.43.07.4730 W085.22.00.8050
3AL  N032.38.21.0000 W085.24.08.0000
AL7  N032.48.13.4560 W085.58.49.8690
7AL  N033.36.01.6128 W085.51.51.4188
37A  N033.36.13.8100 W086.18.10.6100
KPLR N033.33.31.8000 W086.14.56.6000
2AL  N032.25.16.0000 W085.14.53.0000
7A5  N033.07.46.8400 W085.22.19.9750
2AL  N033.09.26.1300 W085.23.20.8200
2AL  N032.36.27.1200 W085.05.40.5100
7AL  N033.51.53.3550 W086.18.39.0090
KSCD N033.10.18.6000 W086.18.19.9000
8AL  N033.21.19.5336 W086.15.43.6860
KASN N033.34.10.2150 W086.03.04.3250
AL8  N032.32.00.4300 W085.54.42.1700
06A  N032.27.37.7000 W085.40.48.1000
27A  N032.27.12.7000 W085.33.29.3600
AL0  N032.49.46.3512 W085.10.07.4028
7AL  N033.25.38.1300 W086.20.27.0200
4AL  N033.17.40.0000 W085.28.49.0000
8AL  N033.22.22.9400 W085.23.48.4200
99A  N033.25.37.6000 W085.29.36.3700
KACJ N032.06.38.9000 W084.11.19.9000
1GA  N032.04.03.0000 W084.15.18.0000
GA0  N032.04.00.7400 W084.15.10.9200
4GA  N032.07.24.5500 W084.07.47.8800
9GA  N032.03.29.5870 W084.17.24.6800
KAHN N033.56.55.1000 W083.19.33.3000
7GA  N033.56.54.4600 W083.24.25.4200
KFTY N033.46.44.8550 W084.31.16.9176
60G  N033.47.38.7000 W084.19.09.4200
GA1  N033.54.26.0000 W084.21.15.0000
GA6  N033.48.34.8100 W084.23.42.5400
GA8  N033.44.50.7400 W084.23.17.7300
GA6  N033.46.07.2000 W084.23.12.7500
7GA  N033.47.30.9100 W084.19.21.3100
GA5  N033.54.30.1100 W084.21.03.6700
1GE  N033.45.09.1800 W084.22.55.4800
9GE  N033.44.27.2600 W084.30.45.1700
KATL N033.38.12.1186 W084.25.40.3104
KFFC N033.21.27.8000 W084.34.21.1000
73G  N033.52.57.0000 W084.26.09.0000
7GA  N033.47.57.3780 W084.23.08.0000
GA5  N033.48.54.3770 W084.22.18.7340
GA5  N033.54.03.1200 W084.28.06.0100
31G  N033.47.14.4700 W084.24.03.7900
7GA  N033.45.43.0000 W084.23.44.0000
GA5  N033.54.35.4600 W084.21.20.7500
KCVC N033.37.56.3100 W083.50.50.8100
GA5  N033.46.12.5900 W084.23.54.7500
KRYY N034.00.47.4000 W084.35.49.3000
52G  N033.32.17.0000 W084.28.28.0000
KPDK N033.52.32.2000 W084.18.07.1000
34G  N033.51.25.9200 W084.36.24.0500
GA5  N033.46.36.4710 W084.14.29.5380
22G  N034.15.28.0000 W084.16.28.0000
GA5  N033.06.00.4530 W084.03.30.6880
GA8  N032.59.02.0000 W084.05.44.0000
KDZJ N034.51.16.0000 W083.59.50.4000
1GA  N034.53.07.2600 W083.57.42.7000
1GE  N034.49.41.0000 W084.21.17.0000
57G  N034.51.47.2900 W084.23.37.7200
70G  N034.50.22.0000 W084.20.10.0000
GA1  N033.43.27.4340 W083.34.00.6020
GE3  N033.43.53.0000 W083.28.11.0000
GA6  N033.16.08.4310 W084.29.49.7330
GE9  N033.29.59.0000 W083.19.14.0000
82A  N032.16.58.1000 W084.30.13.3000
35G  N034.05.52.3630 W084.00.44.6660
6A1  N032.34.05.6490 W084.14.48.0750
GA6  N032.10.45.5890 W083.53.59.6440
GE2  N032.36.08.0000 W083.45.15.0000
28G  N032.36.22.0000 W083.45.32.0000
99G  N034.27.04.3180 W084.56.03.7930
KCZL N034.27.19.4000 W084.56.21.0000
GE0  N034.30.39.3600 W084.55.34.6400
18A  N034.20.25.3000 W083.07.50.9000
25G  N033.59.51.0000 W083.02.20.0000
KCNI N034.18.43.9890 W084.25.19.7500
8GE  N034.14.48.3600 W084.29.28.2200
33G  N034.15.36.0000 W083.17.12.0000
3GE  N034.24.43.0000 W083.11.03.0000
KCTJ N033.37.54.1072 W085.09.08.1509
78G  N033.30.15.4040 W085.01.01.7920
8GA  N033.34.38.3980 W085.00.10.7930
6GA  N033.30.28.0000 W085.11.08.0000
27G  N033.39.30.3910 W085.00.35.7970
3GA  N033.34.12.0300 W085.04.31.3800
KVPC N034.07.23.3309 W084.50.55.3441
53G  N034.10.04.0000 W085.15.31.0000
4A4  N034.01.07.3000 W085.08.47.3000
7GE  N033.21.33.0000 W085.07.03.0000
GA7  N034.52.19.5000 W085.15.01.3000
GA6  N034.46.05.3380 W083.35.34.6180
GA3  N034.40.33.3000 W083.25.27.4100
GA4  N034.39.36.6500 W083.30.03.9600
GE9  N034.54.51.0600 W083.27.33.9300
GA1  N034.49.58.3340 W083.24.34.5830
GA0  N034.27.06.0000 W083.47.19.0000
0GE  N034.33.42.3480 W083.42.48.6460
21G  N034.32.59.0000 W083.49.20.0000
48A  N032.24.02.3812 W083.16.42.2671
KCSG N032.30.58.8000 W084.56.19.9000
1GA  N032.32.33.8900 W084.49.55.6500
01G  N032.28.52.3300 W084.58.49.1400
02G  N034.12.09.3890 W083.25.44.5760
GA6  N033.06.53.4460 W084.26.56.7250
GA7  N033.09.42.4400 W084.27.11.7270
4GA  N033.02.41.4540 W084.23.53.7180
GA7  N033.02.30.4550 W084.24.44.7190
GA7  N033.05.14.4480 W084.24.18.7210
2GA  N033.02.30.4560 W084.25.55.7200
1GE  N033.06.04.4500 W084.23.36.7200
9GA  N033.39.51.3900 W084.20.20.7280
36G  N033.43.48.3940 W083.58.28.6790
GA8  N033.46.56.3890 W083.59.19.6790
3GE  N033.40.48.2700 W084.00.09.9800
9GE  N033.38.59.0000 W084.01.17.0000
KAJR N034.29.59.4539 W083.33.24.0124
GA8  N033.32.48.4200 W083.48.19.6490
71G  N033.36.06.4800 W083.50.55.2500
07G  N033.40.30.0000 W083.45.47.0000
9GE  N033.31.53.0000 W083.47.31.0000
2GE  N034.57.29.0000 W084.46.45.0000
GA8  N034.12.14.3560 W084.03.04.6740
4GA  N034.14.32.3530 W084.03.25.6760
6GA  N034.07.57.3520 W084.11.57.7050
6GA  N034.12.24.7000 W084.17.50.0600
GE0  N034.10.13.4100 W084.10.10.3900
11G  N034.15.37.0000 W084.03.59.0000
8GA  N034.08.45.0000 W084.13.47.0000
9A0  N034.34.59.3000 W084.01.11.9000
7A7  N034.37.35.0000 W084.06.23.0000
GA6  N033.55.11.3700 W084.51.09.7850
KPUJ N033.54.43.3550 W084.56.26.2300
KDNN N034.43.22.6000 W084.52.12.9000
GA7  N034.47.17.9700 W084.58.51.4000
GA7  N034.52.54.0000 W084.53.23.0000
7GA  N032.34.51.5590 W083.16.03.5760
5GA  N034.27.30.3050 W084.10.49.3350
4GA  N033.39.43.3940 W084.40.49.7620
0GE  N033.46.55.3840 W084.48.02.7750
3GE  N033.44.18.5500 W084.43.56.2200
25G  N033.39.34.3940 W084.39.46.7600
KDBN N032.33.53.0000 W082.59.05.9000
48G  N032.32.00.0400 W082.57.01.7100
GE2  N034.04.03.0000 W084.10.39.0000
9GA  N032.41.37.0000 W082.53.56.0000
GA7  N033.40.46.3900 W084.25.37.7390
32G  N033.27.15.0000 W083.16.40.0000
9GA  N033.13.05.0000 W083.19.02.0000
KEBA N034.05.43.4000 W082.49.02.9000
49A  N034.37.41.5000 W084.31.35.6000
4GA  N034.50.48.2860 W084.45.16.7780
02G  N034.10.31.0000 W084.55.28.0000
19G  N033.25.25.4160 W084.29.59.7370
GA9  N033.27.07.4100 W084.24.33.7300
GA9  N033.31.10.0000 W084.30.52.0000
2GE  N032.26.56.5200 W084.28.47.7100
GA9  N033.29.29.4090 W084.29.21.7380
GA9  N033.31.34.4060 W084.30.07.7410
GA0  N034.10.37.0000 W083.56.09.0000
GA2  N033.01.51.2100 W083.56.42.1100
GA7  N033.09.17.4550 W083.53.55.6630
90G  N033.03.36.5900 W083.57.44.1600
KLSF N032.19.54.4100 W084.59.13.7480
GA9  N033.42.45.0000 W084.25.50.0000
GA9  N032.32.55.5310 W083.48.06.6670
1GE  N032.30.04.0000 W083.56.00.0000
5GE  N032.34.13.0000 W083.43.19.0000
GA8  N032.32.52.0000 W083.49.37.0000
GE2  N032.41.00.0000 W083.51.25.0000
5GA  N033.12.06.4300 W085.13.49.8000
1GE  N033.15.14.0000 W085.10.13.0000
KGVL N034.16.21.4572 W083.49.48.8040
14G  N034.20.11.3540 W083.56.36.6600
38G  N034.19.09.9600 W083.47.45.1200
GA4  N034.15.15.3000 W083.58.06.6000
97G  N034.16.05.3760 W083.40.19.6120
80G  N033.15.31.4280 W084.50.40.7660
2GE  N033.40.34.4500 W083.15.33.5700
3J7  N033.35.52.7000 W083.08.17.7000
6A2  N033.13.37.1000 W084.16.29.8000
4GA  N033.08.04.4320 W084.15.14.7160
5GA  N033.15.35.4170 W084.20.57.7270
8GA  N033.09.44.0000 W084.19.14.0000
10G  N033.19.30.4100 W084.17.53.7240
GA6  N033.15.18.4230 W084.24.00.7290
45G  N033.14.23.5932 W084.15.59.3496
KHMP N033.23.23.6600 W084.19.51.7200
0GA  N033.21.22.4140 W084.22.01.7270
5GA  N033.13.39.4350 W084.32.39.7360
6GA  N033.11.56.4380 W084.35.01.7390
0GA  N034.28.40.3700 W082.53.49.5140
0GA  N034.22.40.3750 W082.56.44.5160
51A  N032.17.01.2000 W083.26.16.7000
00G  N033.53.03.0000 W084.44.02.0000
6GE  N033.10.07.3000 W084.49.49.3000
GA2  N033.09.22.4400 W084.25.51.7260
98G  N033.12.20.4480 W083.54.44.6650
62G  N033.19.28.4340 W083.54.58.6650
KJZP N034.27.12.5000 W084.27.26.0000
KJCA N034.10.34.1000 W083.33.42.1000
0GA  N033.44.00.4060 W083.49.07.6470
41G  N033.32.17.0000 W084.20.50.0000
8GA  N034.12.07.3430 W084.58.37.7990
9A5  N034.41.18.6000 W085.17.25.1000
GE0  N034.36.56.0000 W085.20.35.0000
GE1  N034.36.21.0000 W085.27.43.0000
KLGC N033.00.31.9000 W085.04.21.4000
GA3  N033.01.53.1100 W085.03.25.9100
GA4  N033.04.45.4440 W085.01.53.7780
GA9  N032.56.55.0000 W085.03.14.0000
KLZU N033.58.41.0740 W083.57.44.5580
55G  N033.57.48.6500 W084.01.05.8600
5GA  N032.08.59.5950 W083.51.40.6380
3GE  N033.50.36.4460 W082.28.44.4660
6GA  N033.46.41.0000 W084.36.41.0000
00G  N033.46.03.0000 W084.04.06.0000
GE3  N033.18.16.0000 W084.08.12.0000
GA0  N033.21.56.4130 W084.09.54.7070
GE5  N033.19.00.0000 W084.09.01.0000
6GA  N033.47.49.3980 W083.51.04.6510
3GA  N034.52.16.0000 W085.26.15.0000
GA8  N033.28.33.0000 W084.16.37.0000
63G  N032.02.50.4900 W084.44.24.2300
1GA  N033.10.38.4370 W084.44.54.7540
74G  N033.13.32.6000 W084.39.57.2000
KMAC N032.49.18.3520 W083.33.42.9658
77G  N032.50.04.0000 W083.38.10.0000
75G  N032.50.38.2800 W083.49.26.4800
KMCN N032.41.34.2000 W083.38.57.2000
52A  N033.36.43.6500 W083.27.37.6000
GA0  N033.33.12.4560 W083.28.17.6020
1GE  N033.31.02.0000 W083.26.23.0000
GA5  N033.35.51.0000 W083.31.04.0000
KMGE N033.54.51.9900 W084.30.51.2900
56G  N033.58.03.3900 W084.33.05.0500
68G  N034.00.16.0000 W084.26.52.0000
16G  N033.53.11.2400 W084.27.54.8400
42G  N033.58.51.3640 W084.33.47.7580
KMLJ N033.09.15.2100 W083.14.29.0900
6GA  N033.01.38.2000 W083.12.14.3700
9GA  N033.05.52.0000 W083.24.17.0000
77G  N033.09.50.4290 W084.12.48.7130
D73  N033.46.57.1000 W083.41.34.1000
GA3  N033.47.59.9900 W083.44.58.7500
6GA  N033.45.59.0000 W083.45.47.0000
67G  N033.51.33.4170 W083.35.15.6000
1GA  N033.45.41.4200 W083.39.09.6150
GA0  N033.49.32.0000 W083.38.23.0000
53A  N032.18.07.2000 W084.00.26.9000
GA0  N033.19.57.0000 W083.43.37.0000
4GE  N032.29.56.0000 W083.11.30.0000
91G  N033.16.25.0000 W084.47.36.0000
GE0  N032.40.01.0000 W084.57.56.0000
2GA  N033.31.36.4250 W083.38.19.6650
KCCO N033.18.41.6360 W084.46.11.1195
21G  N033.21.30.0000 W084.45.21.0000
2GE  N033.27.51.0000 W084.39.48.0000
17G  N033.28.00.0000 W084.51.56.4000
2GA  N033.40.50.4070 W083.51.09.6550
GA3  N033.28.25.0000 W084.40.25.0000
KPXE N032.30.38.1000 W083.46.02.4000
GA9  N032.30.04.6000 W083.44.58.6000
KPIM N032.50.26.5000 W084.52.56.8000
47G  N032.13.11.0000 W083.51.19.0000
4GA  N032.05.19.1820 W084.22.21.0360
22G  N034.25.45.3190 W085.03.15.8080
06G  N033.45.12.3830 W084.09.43.7050
05G  N032.04.17.0000 W084.42.52.0000
GA0  N034.52.10.2770 W085.11.58.8310
49G  N033.34.47.0100 W084.23.17.6100
0GA  N032.42.48.9450 W084.01.42.7400
KRMG N034.21.02.8000 W085.09.31.2000
GA1  N034.16.39.3200 W085.11.38.2700
8GA  N033.25.16.4100 W085.09.42.8010
23G  N033.59.22.3600 W084.19.55.7300
GA5  N034.01.51.3580 W084.21.21.7320
KOKZ N032.58.00.2000 W082.50.17.4000
58G  N032.59.47.4500 W082.48.16.7900
64G  N033.17.00.4290 W084.32.19.7370
2GA  N034.20.59.3270 W085.04.36.8100
29G  N033.23.03.4190 W084.37.55.0000
40G  N033.51.30.4700 W084.30.44.7500
2GA  N033.48.33.0000 W083.59.59.0000
12G  N033.52.38.1800 W084.01.11.3400
24G  N033.46.52.3880 W084.00.52.6830
18G  N033.41.35.4250 W083.39.27.6200
3GA  N033.31.39.0000 W084.09.25.0000
43G  N033.30.49.1200 W084.13.41.3700
7GA  N033.32.08.0000 W084.10.44.6000
92G  N033.48.47.0000 W084.08.27.0000
GE3  N033.49.09.5100 W084.09.02.4700
3GE  N033.49.15.0000 W084.07.41.0000
GA8  N034.41.53.3240 W084.00.45.6880
GA2  N034.34.42.0000 W085.23.02.0000
0GE  N033.19.53.0000 W084.16.00.0000
3GA  N032.43.42.0000 W084.21.25.0000
85G  N034.10.20.3820 W083.43.51.6180
0GA  N033.46.12.3810 W085.03.38.8050
55G  N034.58.50.2760 W084.44.29.7790
KOPN N032.57.18.0092 W084.15.50.7103
KHQU N033.31.47.0000 W082.31.01.0000
KTOC N034.35.34.1220 W083.17.46.9380
0GE  N034.54.10.0900 W085.27.37.4600
14G  N034.47.07.9800 W085.27.13.4100
86G  N034.52.04.2800 W085.03.39.8150
51G  N033.30.29.0000 W084.36.01.7500
94G  N032.15.46.5770 W083.47.13.6400
3GA  N033.36.03.3990 W084.32.56.7490
8GA  N033.16.36.4230 W084.24.38.7290
20G  N033.45.23.6000 W084.53.06.2250
3GA  N033.38.13.3940 W084.56.19.7880
87G  N033.44.40.2000 W084.54.54.4100
81G  N033.38.27.3940 W084.54.17.7840
5A9  N032.56.18.6000 W084.41.47.2000
5A2  N032.33.38.3000 W083.40.36.3000
KWRB N032.38.24.6150 W083.35.30.9150
KIIY N033.46.45.9000 W082.48.57.0000
9GE  N033.38.46.2000 W082.39.16.0200
1GE  N032.42.52.0000 W084.43.05.0000
3GA  N033.34.14.0000 W084.53.54.0000
6GA  N033.34.41.3990 W084.54.24.7830
5GA  N033.34.23.3990 W084.54.34.7830
7GA  N033.34.14.0000 W084.53.52.0000
95G  N033.27.21.4090 W084.56.34.7830
GA2  N033.11.00.4310 W084.22.17.7250
5GA  N033.09.36.4350 W084.21.54.7230
96G  N033.11.09.0000 W084.22.05.0000
KWDR N033.58.58.3000 W083.40.02.7000
59G  N034.00.29.6300 W083.42.30.2600
1GE  N032.50.40.0000 W084.32.38.0000
6GE  N032.49.58.0000 W084.32.16.0000
5GA  N034.06.21.3530 W084.26.54.7430
3RU  N033.19.58.3000 W084.24.02.8000
3GA  N033.08.00.4400 W084.22.38.7220
GA1  N033.04.08.2300 W084.21.07.0300
9GA  N033.03.25.4510 W084.20.32.7160
KRHP N035.11.42.8270 W083.51.46.9390
NC0  N035.05.07.3270 W083.44.10.6150
5NC  N035.04.19.0100 W083.58.05.0600
NC5  N035.04.46.2900 W084.01.45.0500
KCEU N034.40.20.0000 W082.53.09.2000
SC3  N034.17.49.3870 W082.41.01.4760
SC9  N034.33.37.0000 W082.56.07.0000
SC2  N034.40.18.0000 W082.54.49.0000
SC7  N034.43.30.0000 W083.05.06.0000
92A  N035.13.35.2640 W084.35.05.7580
KCHA N035.02.06.7000 W085.12.12.8000
0TN  N035.02.56.6400 W085.17.21.1800
TN0  N035.02.33.3400 W085.15.35.8300
33T  N035.10.41.4300 W084.52.12.3300
KRZR N035.12.44.4110 W084.47.57.1180
KFGU N035.02.39.9150 W085.01.12.2400
1A3  N035.00.56.9000 W084.20.48.6000
23T  N035.01.37.4600 W084.23.06.1000
